timestamp,city,temperature,humidity,pressure,wind_speed,clouds,visibility,rain,weather
2026-03-19 15:00:05,"Dallas,US",13.09,79,1020,2.24,24,10000,0,few clouds
2026-03-19 15:00:05,"Tokyo,JP",13.28,65,1013,3.6,75,10000,2.66,moderate rain
2026-03-19 15:00:05,"Toronto,CA",1.63,72,1020,15.2,100,10000,0,overcast clouds
2026-03-19 15:00:05,"Singapore,SG",27.96,78,1011,5.14,75,10000,0,broken clouds
2026-03-19 15:00:05,"London,GB",17.03,38,1025,6.17,29,10000,0,scattered clouds
2026-03-19 15:00:05,"Seoul,KR",3.76,75,1020,1.54,0,10000,0,clear sky
2026-03-19 15:00:06,"Paris,FR",16.65,43,1021,6.17,0,10000,0,clear sky
2026-03-19 16:00:08,"New York,US",2.81,57,1027,4.12,100,10000,0,overcast clouds
2026-03-19 16:00:08,"Seattle,US",10.29,95,1019,3.6,100,4023,0.85,light rain
2026-03-19 16:00:08,"Chicago,US",8.37,66,1020,1.13,92,10000,0,overcast clouds
2026-03-19 16:00:09,"Dallas,US",16.11,71,1021,2.24,27,10000,0,scattered clouds
2026-03-19 16:00:09,"Tokyo,JP",12.07,70,1013,4.12,75,10000,0,broken clouds
2026-03-19 16:00:09,"Toronto,CA",2.58,72,1020,15.2,75,10000,0,broken clouds
2026-03-19 16:00:09,"Singapore,SG",27.79,79,1012,4.12,75,10000,0,broken clouds
2026-03-19 16:00:09,"London,GB",17,36,1025,5.66,22,10000,0,few clouds
2026-03-19 16:00:09,"Seoul,KR",3.76,75,1020,1.54,0,10000,0,clear sky
2026-03-19 16:00:09,"Paris,FR",17.46,39,1021,6.69,0,10000,0,clear sky
2026-03-19 17:00:18,"New York,US",3.11,57,1026,4.47,100,10000,0,overcast clouds
2026-03-19 17:00:18,"Seattle,US",10.36,95,1019,3.58,100,8047,0.27,light rain
2026-03-19 17:00:18,"Chicago,US",9.54,61,1020,1.54,40,10000,0,scattered clouds
2026-03-19 17:00:19,"Dallas,US",19.97,60,1021,2.24,45,10000,0,scattered clouds
2026-03-19 17:00:19,"Tokyo,JP",10.88,74,1013,4.58,100,10000,0,overcast clouds
2026-03-19 17:00:20,"Toronto,CA",4.15,69,1019,4.92,75,10000,0,broken clouds
2026-03-19 17:00:20,"Singapore,SG",27.22,79,1012,5.14,75,10000,0,broken clouds
2026-03-19 17:00:20,"London,GB",16.8,37,1025,5.66,20,10000,0,few clouds
2026-03-19 17:00:21,"Seoul,KR",2.76,81,1020,1.03,0,10000,0,clear sky
2026-03-19 17:00:21,"Paris,FR",17.74,37,1021,6.69,0,10000,0,clear sky
2026-03-19 18:00:22,"New York,US",3.86,55,1026,4.63,100,10000,0,overcast clouds
2026-03-19 18:00:23,"Seattle,US",10.73,95,1020,3.6,100,4023,0,mist
2026-03-19 18:00:24,"Chicago,US",10.37,56,1019,2.24,20,10000,0,few clouds
2026-03-19 18:00:24,"Dallas,US",22.81,53,1021,2.24,37,10000,0,scattered clouds
2026-03-19 18:00:24,"Tokyo,JP",10.9,72,1013,5.66,75,10000,0,broken clouds
2026-03-19 18:00:25,"Toronto,CA",5.79,65,1020,8.23,75,10000,0,broken clouds
2026-03-19 18:00:26,"Singapore,SG",27.11,81,1011,4.63,75,10000,0,broken clouds
2026-03-19 18:00:26,"London,GB",15.88,39,1025,5.14,17,10000,0,few clouds
2026-03-19 18:00:27,"Seoul,KR",1.76,87,1020,1.03,0,10000,0,clear sky
2026-03-19 18:00:27,"Paris,FR",17.2,37,1021,6.17,0,10000,0,clear sky
2026-03-19 20:00:03,"New York,US",4.46,52,1023,6.26,100,10000,0,overcast clouds
2026-03-19 20:00:03,"Seattle,US",11.34,94,1020,4.47,100,10000,0.49,light rain
2026-03-19 20:00:03,"Chicago,US",12.27,61,1019,2.68,20,10000,0,few clouds
2026-03-19 20:00:04,"Dallas,US",26.94,44,1019,4.02,0,10000,0,clear sky
2026-03-19 20:00:04,"Tokyo,JP",11.06,61,1013,5.14,75,10000,0,broken clouds
2026-03-19 20:00:04,"Toronto,CA",7.39,59,1019,8.05,75,10000,0,broken clouds
2026-03-19 20:00:04,"Singapore,SG",27.11,81,1010,2.57,75,10000,0,broken clouds
2026-03-19 20:00:04,"London,GB",12.94,51,1025,4.63,84,10000,0,broken clouds
2026-03-19 20:00:04,"Seoul,KR",-0.24,100,1019,3.6,0,10000,0,clear sky
2026-03-19 20:00:04,"Paris,FR",14.35,40,1021,5.14,0,10000,0,clear sky
2026-03-19 21:00:05,"New York,US",4.47,56,1023,4.47,100,10000,0,overcast clouds
2026-03-19 21:00:05,"Seattle,US",11.53,94,1020,5.81,100,10000,0,overcast clouds
2026-03-19 21:00:05,"Chicago,US",12.48,65,1018,4.12,20,10000,0,few clouds
2026-03-19 21:00:05,"Dallas,US",28.91,40,1018,3.13,0,10000,0,clear sky
2026-03-19 21:00:05,"Tokyo,JP",10.81,60,1013,6.17,75,10000,0,broken clouds
2026-03-19 21:00:06,"Toronto,CA",7.61,58,1019,8.05,100,10000,0,overcast clouds
2026-03-19 21:00:06,"Singapore,SG",26.36,83,1010,1.54,75,10000,0,broken clouds
2026-03-19 21:00:06,"London,GB",11.55,56,1025,3.6,92,10000,0,overcast clouds
2026-03-19 21:00:06,"Seoul,KR",-1.24,100,1019,4.12,20,8000,0,few clouds
2026-03-19 21:00:06,"Paris,FR",12.86,47,1021,4.12,0,10000,0,clear sky
